67,85,51
84,89,14
25,61,93
8,50,66
0,70,40
77,82,52
64,47,7
44,74,50
86,53,4
7,75,72
25,69,21
11,70,43
24,70,74
46,54,14
85,39,68
3,52,13
49,17,22
74,55,63
91,25,72
45,27,8
5,44,64
81,74,68
20,83,83
79,93,63
59,82,11
68,5,7
7,82,21
81,60,0
25,78,0
21,17,94
25,45,33
32,89,56
25,90,97
84,70,38
37,49,86
82,49,30
8,99,49
2,43,1
18,1,8
41,97,17
80,51,29
73,91,78
99,21,19
65,14,31
84,74,88
63,91,69
23,2,54
35,22,96
38,29,58
74,92,70
58,18,57
78,14,12
27,21,62
58,78,7
27,50,69
99,80,38
40,22,68
54,12,86
89,95,69
14,3,80
25,46,95
78,61,95
1,13,20
32,47,67
60,70,54
73,46,53
3,97,26
67,8,27
41,62,28
94,86,70
43,86,31
65,81,2
77,95,13
52,23,13
44,83,5
100,66,49
10,11,99
13,39,11
45,71,80
38,18,46
28,24,39
99,26,21
57,68,69
61,39,58
83,18,46
8,4,36
52,37,99
78,9,42
97,6,22
80,60,37
93,44,95
51,81,46
38,2,66
55,89,37
51,2,79
94,21,78
93,67,18
74,69,74
2,92,23
22,75,98
